{Acanthis_boschas, Alpes_pardus} {Ameiva_flavolineata, Nucifraga_atthis}
{Agama_ceterus, Rangifer_coelestis} {Ameiva_flavolineata, Siniperca_galericulata}
{Acanthis_boschas, Alpes_pardus} {Ameiva_flavolineata, Siniperca_galericulata}
{Leiocephalus_himalayensis, Rhynchaspis_nyroca} {Nucifraga_atthis, Numenius_cristatella}
{Alpes_pardus, Rhynchaspis_nyroca} {Ameiva_flavolineata, Siniperca_galericulata}
{Ameiva_flavolineata, Siniperca_galericulata} {Cardiocranius_microlepis, Cyclemys_alba}
{Alpes_pardus, Rangifer_coelestis} {Ameiva_flavolineata, Siniperca_galericulata}
{Alpes_pardus, Philacte_quinquetaeniata} {Nucifraga_atthis, Siniperca_galericulata}
{Caiman_schreibersi, Nucifraga_atthis} {Leiocephalus_himalayensis, Rangifer_coelestis}
{Caiman_schreibersi, Numenius_cristatella} {Camptoloma_indicus, Rangifer_coelestis}
{Acanthis_boschas, Cardiocranius_microlepis} {Nucifraga_atthis, Numenius_cristatella}
{Agama_ceterus, Rangifer_coelestis} {Caiman_schreibersi, Numenius_cristatella}
{Agama_ceterus, Rhynchaspis_nyroca} {Cardiocranius_microlepis, Philacte_quinquetaeniata}
{Agama_ceterus, Alpes_pardus} {Numenius_cristatella, Siniperca_galericulata}
{Agama_ceterus, Riparia_vipio} {Ameiva_flavolineata, Siniperca_galericulata}
{Agama_ceterus, Rhynchaspis_nyroca} {Caiman_schreibersi, Cardiocranius_microlepis}
{Acanthis_boschas, Alpes_pardus} {Numenius_cristatella, Siniperca_galericulata}
{Alpes_pardus, Cyclemys_alba} {Ameiva_flavolineata, Numenius_cristatella}
{Camptoloma_indicus, Cyclemys_alba} {Leiocephalus_himalayensis, Rangifer_coelestis}
{Camptoloma_indicus, Philacte_quinquetaeniata} {Numenius_cristatella, Rhynchaspis_nyroca}
{Alpes_pardus, Cyclemys_alba} {Ameiva_flavolineata, Caiman_schreibersi}
{Acanthis_boschas, Rangifer_coelestis} {Ameiva_flavolineata, Numenius_cristatella}
{Agama_ceterus, Leiocephalus_himalayensis} {Numenius_cristatella, Siniperca_galericulata}
{Agama_ceterus, Camptoloma_indicus} {Ameiva_flavolineata, Numenius_cristatella}
{Cyclemys_alba, Riparia_vipio} {Nucifraga_atthis, Siniperca_galericulata}
{Acanthis_boschas, Alpes_pardus} {Nucifraga_atthis, Siniperca_galericulata}
{Ameiva_flavolineata, Caiman_schreibersi} {Cyclemys_alba, Rhynchaspis_nyroca}
{Leiocephalus_himalayensis, Nucifraga_atthis} {Rhynchaspis_nyroca, Riparia_vipio}
{Agama_ceterus, Rhynchaspis_nyroca} {Cardiocranius_microlepis, Siniperca_galericulata}
{Ameiva_flavolineata, Caiman_schreibersi} {Cyclemys_alba, Leiocephalus_himalayensis}
{Agama_ceterus, Rangifer_coelestis} {Nucifraga_atthis, Siniperca_galericulata}
{Numenius_cristatella, Rangifer_coelestis} {Rhynchaspis_nyroca, Riparia_vipio}
{Agama_ceterus, Rhynchaspis_nyroca} {Caiman_schreibersi, Philacte_quinquetaeniata}
{Cardiocranius_microlepis, Nucifraga_atthis} {Rhynchaspis_nyroca, Riparia_vipio}
{Cardiocranius_microlepis, Leiocephalus_himalayensis} {Nucifraga_atthis, Numenius_cristatella}
{Caiman_schreibersi, Numenius_cristatella} {Camptoloma_indicus, Philacte_quinquetaeniata}
{Ameiva_flavolineata, Numenius_cristatella} {Leiocephalus_himalayensis, Philacte_quinquetaeniata}
{Agama_ceterus, Alpes_pardus} {Rhynchaspis_nyroca, Riparia_vipio}
{Caiman_schreibersi, Numenius_cristatella} {Leiocephalus_himalayensis, Philacte_quinquetaeniata}
{Cyclemys_alba, Leiocephalus_himalayensis} {Nucifraga_atthis, Siniperca_galericulata}
{Ameiva_flavolineata, Nucifraga_atthis} {Leiocephalus_himalayensis, Riparia_vipio}
{Ameiva_flavolineata, Nucifraga_atthis} {Philacte_quinquetaeniata, Rhynchaspis_nyroca}
{Caiman_schreibersi, Nucifraga_atthis} {Cyclemys_alba, Rhynchaspis_nyroca}
{Ameiva_flavolineata, Siniperca_galericulata} {Leiocephalus_himalayensis, Riparia_vipio}
{Agama_ceterus, Philacte_quinquetaeniata} {Ameiva_flavolineata, Numenius_cristatella}
{Agama_ceterus, Rangifer_coelestis} {Ameiva_flavolineata, Caiman_schreibersi}
{Camptoloma_indicus, Cardiocranius_microlepis} {Rhynchaspis_nyroca, Riparia_vipio}
{Acanthis_boschas, Siniperca_galericulata} {Rhynchaspis_nyroca, Riparia_vipio}
{Alpes_pardus, Riparia_vipio} {Leiocephalus_himalayensis, Rangifer_coelestis}
{Alpes_pardus, Riparia_vipio} {Caiman_schreibersi, Numenius_cristatella}
{Agama_ceterus, Philacte_quinquetaeniata} {Ameiva_flavolineata, Caiman_schreibersi}
{Camptoloma_indicus, Rhynchaspis_nyroca} {Nucifraga_atthis, Numenius_cristatella}
{Ameiva_flavolineata, Siniperca_galericulata} {Cardiocranius_microlepis, Leiocephalus_himalayensis}
