21
0	881	591	594	698	735	799	460	805	673	776	677	858	806	733	667	831	732	554	446	589	
881	0	569	749	607	494	553	795	742	504	713	827	788	823	635	720	764	785	652	699	668	
591	569	0	605	639	777	856	522	632	867	621	839	610	540	824	821	550	793	636	467	680	
594	749	605	0	442	660	765	527	658	761	695	536	767	825	576	846	600	549	585	671	746	
698	607	639	442	0	622	578	500	654	678	829	531	586	646	747	804	471	469	810	741	562	
735	494	777	660	622	0	700	595	752	815	506	663	653	574	877	649	857	723	665	487	489	
799	553	856	765	578	700	0	757	687	457	684	629	744	800	820	466	850	524	694	651	798	
460	795	522	527	500	595	757	0	807	475	521	774	811	822	879	809	808	592	473	613	514	
805	742	632	658	654	752	687	807	0	842	507	703	768	697	561	864	491	751	481	474	797	
673	504	867	761	678	815	457	475	842	0	563	679	645	755	614	787	789	508	690	448	548	
776	713	621	695	829	506	684	521	507	563	0	485	865	685	565	773	802	778	577	686	715	
677	827	839	536	531	663	629	774	703	679	485	0	634	555	570	449	882	546	608	619	830	
858	788	610	767	586	653	744	811	768	645	865	634	0	606	712	505	630	726	558	840	780	
806	823	540	825	646	574	800	822	697	755	685	555	606	0	691	769	441	740	547	642	704	
733	635	824	576	747	877	820	879	561	614	565	570	712	691	0	689	624	739	701	876	571	
667	720	821	846	804	649	466	809	864	787	773	449	505	769	689	0	664	682	497	477	696	
831	764	550	600	471	857	850	808	491	789	802	882	630	441	624	664	0	575	730	760	711	
732	785	793	549	469	723	524	592	751	508	778	546	726	740	739	682	575	0	847	496	841	
554	652	636	585	810	665	694	473	481	690	577	608	558	547	701	497	730	847	0	612	828	
446	699	467	671	741	487	651	613	474	448	686	619	840	642	876	477	760	496	612	0	868	
589	668	680	746	562	489	798	514	797	548	715	830	780	704	571	696	711	841	828	868	0	
